Company Name,SIC Code,Exchange,Ticker,Active/Inactive,Country,Sector
,6722,NMS,SQQQ,Active,United States,Public
"1-800 Contacts, Inc.",5961,NMS,CTAC,Inactive,United States,Public
"1-800 Flowers.com, Inc.",5947,NMS,FLWS,Active,United States,Public
1-800-ATTORNEY Inc,2741,NL,,Active,United States,Public
10X Capital Venture Acquisition Corp,9999,NAS,VCVC,Inactive,United States,Public
10x Genomics Inc,3826,NMS,TXG,Active,United States,Public
11 Good Energy Inc,2869,NL,,Active,United States,Public
12 Retech Corp,7372,NBB,RETC D,Active,United States,Public
1399 Internet Technology Application Group Inc,5499,NBB,YSGG,Active,United States,Public
"141 Capital, Inc.",4899,NBB,ONCP,Active,United States,Public
180 Connect Inc (DE),6799,OTC,CNCT,Inactive,United States,Public
180 Degree Capital Corp,6799,NMS,TURN,Active,United States,Public
180 Life Sciences Corp,2836,NAS,ATNF,Active,United States,Public
1812 Brewing Co Inc,7389,NBB,KEGS,Active,United States,Public
1847 Holdings LLC,8742,ASE,EFSH,Active,United States,Public
1895 Bancorp of Wisconsin Inc (New),6036,NAS,BCOW,Active,United States,Public
1Life Healthcare Inc,8011,NMS,ONEM,Inactive,United States,Public
1PM Industries Inc,8742,NBB,OPMZ,Active,United States,Public
"1st Bancorp (Vincennes, IN)",6022,,,Inactive,United States,Public
1st Bergen Bancorp,6035,NMS,FBER,Inactive,United States,Public
1st Century Bancshares Inc,6022,NAS,FCTY,Inactive,United States,Public
1st Colonial Bancorp Inc,6029,NBB,FCOB,Active,United States,Public
1ST Constitution Bancorp,6035,NMS,FCCY,Inactive,United States,Public
1st Financial Services Corp,6022,NBB,FFIS,Inactive,United States,Public
1st Franklin Financial Corp.,6141,,,Active,United States,Public
1st Independence Financial Group Inc,6035,NMS,FIFG,Inactive,United States,Public
1st NRG Corp,1382,NBB,FNRC,Active,United States,Public
1st Pacific Bancorp,6022,NBB,FPBN,Inactive,United States,Public
1st Source Corp,6022,NMS,SRCE,Active,United States,Public
"1st State Bancorp,  Inc.",6029,NMS,FSBC,Inactive,United States,Public
1st United Bancorp,6022,NMS,FUBC,Inactive,United States,Public
"1st United Bancorp, Inc.",6022,NMS,FUBC,Inactive,United States,Public
"1st Washington Bancorp, Inc.",6712,NMS,WFSB,Inactive,United States,Public
1stdibs.com Inc,5961,NMS,DIBS,Active,United States,Public
2 I Inc.,6719,NBB,TWOI,Inactive,United States,Public
2-Track Global Inc,3812,NBB,TOTG,Inactive,United States,Public
20/20 GeneSystems Inc,8071,NL,,Active,United States,Public
"2002 Target Term Trust, Inc.",6726,NYS,TTR,Inactive,United States,Public
"202 Data Systems, Inc.",3827,NL,,Active,United States,Public
21ST Century Film Corp.,7922,OTC,TFFC,Inactive,United States,Public
21st Century Insurance Group,6331,NYS,TW,Inactive,United States,Public
21st Century Oncology Holdings Inc,8011,ASE,ICC PR,Active,United States,Public
22nd Century Group Inc,2111,NAS,XXII,Active,United States,Public
24/7 Real Media Inc,7311,NMS,TFSM,Inactive,United States,Public
24Holdings Inc,9999,NL,,Active,United States,Public
26 Capital Acquisition Corp,9999,NAS,ADER,Active,United States,Public
286 Lenox Partners LLC,6512,NBB,TESL U,Active,United States,Public
2seventy bio Inc,2834,NMS,TSVT,Active,United States,Public
2U Inc,7372,NMS,TWOU,Active,United States,Public
3-D Geophysical Inc.,1382,NMS,TDGO,Inactive,United States,Public
3-Dimensional Pharmaceuticals Inc,2834,NMS,DDDP,Inactive,United States,Public
360 Degrees Communications Co.,4813,NYS,XO,Inactive,United States,Public
360 Global Wine Co,6722,NBB,TSIX Q,Inactive,United States,Public
370 Markets LLC,7389,NBB,MKHV S,Active,United States,Public
374Water Inc,4953,NAS,SCWO,Active,United States,Public
3CI Complete Compliance Corp,4959,NL,,Active,United States,Public
3Com Corp.,3577,NMS,COMS,Inactive,United States,Public
3D Pioneer Systems Inc,7372,NBB,DPSM,Active,United States,Public
3D Systems Corp. (DE),7372,NYS,DDD,Active,United States,Public
3D Total Solutions Inc,7371,NL,,Active,United States,Public
"3Dfx Interactive, Inc.",3674,NBB,TDFX Q,Inactive,United States,Public
3DO Co,7372,NBB,THDO Q,Inactive,United States,Public
3DShopping.com,7371,NBB,THDS,Active,United States,Public
3DX Industries Inc,3399,NBB,DDDX,Active,United States,Public
3DX Technologies Inc.,1311,OTC,TDXT C,Inactive,United States,Public
3M Co,3841,NYS,MMM,Active,United States,Public
"3Par, Inc.",3572,NYS,PAR,Inactive,United States,Public
3Power Energy Group Inc,3511,NBB,PSPW,Active,United States,Public
3TEC Energy Corp,1311,NMS,TTEN,Inactive,United States,Public
4-D Neuroimaging,3845,NL,,Active,United States,Public
